id,name,phone,address,type,image,lat,lng
1,강남운전면허시험장,1577-1120,서울 강남구 테헤란로114길 23,,,127.067298,37.508353
2,강서운전면허시험장,1577-1120,서울 강서구 남부순환로 171 ,,,126.821009,37.5502381
3,도봉운전면허시험장,1577-1120,서울 노원구 동일로 1449,,,127.058806,37.6579485
4,서부운전면허시험장,1577-1120,서울 마포구 월드컵로42길 13,,,126.880794,37.5787315
5,인천운전면허시험장,1577-1120,인천 남동구 아암대로 1247,,,126.70884,37.3849137
6,부산남부운전면허시험장,1577-1120,부산 남구 용호로 16,,,129.105431,35.1271322
7,부산북부운전면허시험장,1577-1120,부산 사상구 사상로367번길 35,,,128.983092,35.1772094
8,대구운전면허시험장,1577-1120,대구 북구 태암남로 38,,,128.551345,35.9242904
9,용인운전면허시험장,1577-1120,경기 용인시 기흥구 용구대로 2267 ,,,127.107851,37.2892504
10,안산운전면허시험장,1577-1120,경기 안산시 단원구 순환로 352,,,126.828363,37.3449004
11,의정부운전면허시험장,1577-1120,경기 의정부시 금오로109번길 55,,,127.076509,37.7597209
12,대전운전면허시험장,1577-1120,대전 동구 산서로1660번길 90,,,127.462051,36.2849179
13,춘천운전면허시험장,1577-1120,강원 춘천시 신북읍 신북로 247,,,127.750516,37.9474325
14,강릉운전면허시험장,1577-1120,강원 강릉시 사천면 중앙서로 464,,,128.817578,37.7953044
15,원주운전면허시험장,1577-1120,강원 원주시 호저면 사제로 596,,,127.898333,37.3385452
16,태백운전면허시험장,1577-1120,강원 태백시 수아밭길 166,,,128.970738,37.1808687
17,울산운전면허시험장,1577-1120,울산 울주군 상북면 봉화로 342,,,129.099967,35.5754819
18,전북운전면허시험장,1577-1120,전북 전주시 덕진구 팔복로 359,,,127.070547,35.8615912
19,전남운전면허시험장,1577-1120,전남 나주시 내영산2길 49,,,126.704176,35.0084247
20,광양운전면허시험장,1577-1120,전남 광양시 광양읍 대학로 11,,,127.572055,34.960784
21,제주운전면허시험장,1577-1120,제주 제주시 애월읍 평화로 2072,,,126.388114,33.4060731
22,청주운전면허시험장,1577-1120,충북 청주시 상당구 남일면 교육원로 131-20,,,127.56745,36.5768526
23,충주운전면허시험장,1577-1120,충북 충주시 대가주1길 16,,,127.898111,36.9393926
24,예산운전면허시험장,1577-1120,충남 예산군 오가면 국사봉로 500,,,126.788188,36.6726427
25,문경운전면허시험장,1577-1120,경북 문경시 신기공단1길 12,,,128.172771,36.6366884
26,포항운전면허시험장,1577-1120,경북 포항시 남구 오천읍 냉천로 656,,,129.393141,35.94257
27,마산운전면허시험장,1577-1120,경남 창원시 마산합포구 진동면 진북산업로 90-1,,,128.487512,35.1251837
